Date,A,B,C,D
02-Jan-19,157.92,101.12,44.36,135.68
03-Jan-19,142.19,97.4,43.39,131.74
04-Jan-19,148.26,101.93,45.3,137.95
07-Jan-19,147.93,102.06,45.63,138.05
08-Jan-19,150.75,102.8,45.14,142.53
09-Jan-19,153.31,104.27,45.6,144.23
10-Jan-19,153.8,103.6,45.92,144.2
11-Jan-19,152.29,102.8,46.02,143.8
14-Jan-19,150,102.05,46.84,145.39
15-Jan-19,153.07,105.01,47.42,148.95
16-Jan-19,154.94,105.38,48.27,147.54
17-Jan-19,155.86,106.12,49.01,148.3
18-Jan-19,156.82,107.71,50.1,150.04
22-Jan-19,153.3,105.68,49.52,147.57
23-Jan-19,153.92,106.71,48.92,144.3
24-Jan-19,152.7,106.2,49.1,145.83
25-Jan-19,157.76,107.17,50.08,149.01
28-Jan-19,156.3,105.08,49.79,147.47
29-Jan-19,154.68,102.94,49.62,144.19
30-Jan-19,165.25,106.38,48.14,150.42
31-Jan-19,166.44,104.43,50.07,166.69
01-Feb-19,166.52,102.78,49.61,165.71
04-Feb-19,171.25,105.74,49.7,169.25
05-Feb-19,174.18,107.22,48.85,171.16
06-Feb-19,174.24,106.03,48.77,170.49
07-Feb-19,170.94,105.27,47.96,166.38
08-Feb-19,170.41,105.67,47.83,167.33
11-Feb-19,169.43,105.25,48.38,165.79
12-Feb-19,170.89,106.89,48.8,165.04
13-Feb-19,170.18,106.81,49.21,164.07
14-Feb-19,170.8,106.9,48.85,163.95
15-Feb-19,170.42,108.22,50.79,162.5
19-Feb-19,170.93,108.17,51.36,162.29
20-Feb-19,172.03,107.15,52.22,162.56
21-Feb-19,171.06,109.41,52.05,160.04
22-Feb-19,172.97,110.97,52.87,161.89
25-Feb-19,174.23,111.59,53.09,164.62
26-Feb-19,174.33,112.36,52.58,164.13
27-Feb-19,174.87,112.17,52.42,162.81
28-Feb-19,173.15,112.03,52.64,161.45
01-Mar-19,174.97,112.53,51.4,162.28
04-Mar-19,175.85,112.26,51.36,167.37
05-Mar-19,175.53,111.7,51.58,171.26
06-Mar-19,174.52,111.75,50.95,172.51
07-Mar-19,172.5,110.39,50,169.13
08-Mar-19,172.91,110.51,49.91,169.6
11-Mar-19,178.9,112.83,50.59,172.07
12-Mar-19,180.91,113.62,50.76,171.92
13-Mar-19,181.71,114.5,51.11,173.37
14-Mar-19,183.73,114.59,51.69,170.17
15-Mar-19,186.12,115.91,52.17,165.98
18-Mar-19,188.02,117.57,52.79,160.47
19-Mar-19,186.53,117.65,51.93,161.57
20-Mar-19,188.16,117.52,50.69,165.44
21-Mar-19,195.09,120.22,51.43,166.08
22-Mar-19,191.05,117.05,49.45,164.34
25-Mar-19,188.74,117.66,49.01,166.29
26-Mar-19,186.79,117.91,50.15,167.68
27-Mar-19,188.47,116.77,49.91,165.87
28-Mar-19,188.72,116.93,50.01,165.55
29-Mar-19,189.95,117.94,50.19,166.69
01-Apr-19,191.24,119.02,51.98,168.7
02-Apr-19,194.02,119.19,51.72,174.2
03-Apr-19,195.35,119.97,52.26,173.54
04-Apr-19,195.69,119.36,52.61,176.02
05-Apr-19,197,119.89,53.19,175.72
08-Apr-19,200.1,119.93,53.32,174.93
09-Apr-19,199.5,119.28,51.8,177.58
10-Apr-19,200.62,120.19,52.75,177.82
11-Apr-19,198.95,120.33,53.46,177.51
12-Apr-19,198.87,120.95,54.87,179.1
15-Apr-19,199.23,121.05,54.29,179.65
16-Apr-19,199.25,120.77,55.42,178.87
17-Apr-19,203.13,121.77,55.67,178.78
18-Apr-19,203.86,123.37,55.22,178.28
22-Apr-19,204.53,123.76,55.03,181.44
23-Apr-19,207.48,125.44,55.55,183.78
24-Apr-19,207.16,125.01,55.09,182.58
25-Apr-19,205.28,129.15,55.78,193.26
26-Apr-19,204.3,129.89,57.38,191.49
29-Apr-19,204.61,129.77,57.43,194.78
30-Apr-19,200.67,130.6,57.16,193.4
01-May-19,210.52,127.88,56.88,193.03
02-May-19,209.15,126.21,56.54,192.53
03-May-19,211.75,128.9,57.58,195.47
06-May-19,208.48,128.15,57.3,193.88
07-May-19,202.86,125.52,56.45,189.77
08-May-19,202.9,125.51,56.03,189.54
09-May-19,200.72,125.5,55.89,188.65
