,Financial Instrument,Coupon,Maturity,Ratings,Issuer Debt/Equity,Issue Date,Time-To-Maturity (TTM),Payment Frequency,Ask,Ask Yield,Duration %  ,Convexity,Bid,Unnamed: 13,Instrument Type
0,SMMSBK CORP CD 82869ADY8,5.45,Jul25'24,0,0,Oct 25 '23,0.01,Monthly,100.005,3.511,0.005479452200233936,0.0000003,99.851,0.0,Certificates of Deposit
1,BRISBK CORP CD 110001AS3,5.3,Jul26'24,0,0,Jul 28 '23,0.01,Monthly,99.998,5.6450000000000005,0.008219177834689617,0.00000068,99.850,0.0,Certificates of Deposit
2,SYF CORP CD 87164WN95,3.3,Jul29'24,0,0,Jul 29 '22,0.02,Semi-Annual,99.967,5.628,0.016438355669379234,0.0000027,99.813,0.0,Certificates of Deposit
3,FBFCEN CORP CD 319267KV1,5.25,Jul29'24,0,0,Jun 29 '23,0.02,Semi-Annual,99.995,5.596,0.016438355669379234,0.0000027,99.846,0.0,Certificates of Deposit
4,COF CORP CD 14042TJA6,3.35,Aug05'24,0,0,Aug 03 '22,0.04,Semi-Annual,99.921,5.689,0.5218930244445801,0.0027642634231597185,99.881,0.0,Certificates of Deposit
5,AXP CORP CD 02589ADK5,3.35,Aug05'24,0,0,Aug 03 '22,0.04,Semi-Annual,99.926,5.538,0.5218890905380249,0.002764241537079215,99.774,0.0,Certificates of Deposit
6,OZK CORP CD 06418CJZ0,5.2,Aug07'24,0,1.959082145289126,Aug 07 '23,0.04,Monthly,99.987,5.527,0.04109589010477066,0.00001689,99.842,0.0,Certificates of Deposit
7,UBS CORP CD 90355GBA3,4.65,Aug08'24,0,0,Feb 08 '23,0.04,Monthly,99.97,5.371,0.04383561760187149,0.00001922,99.818,0.0,Certificates of Deposit
8,DMBBK CORP CD 23322GT49,5.25,Aug08'24,0,0,Dec 08 '23,0.04,Monthly,99.989,5.506,0.04383561760187149,0.00001922,99.844,0.0,Certificates of Deposit
9,AXP CORP CD 02589ADM1,3.35,Aug12'24,0,0,Aug 10 '22,0.05,Semi-Annual,100.043,2.5914,0.5410717725753784,0.002968123648315668,99.757,0.0,Certificates of Deposit
10,COF CORP CD 14042TJH1,3.3,Aug12'24,0,0,Aug 10 '22,0.05,Semi-Annual,100.052,2.3681,0.5411931872367859,0.0029688505455851555,99.759,0.0,Certificates of Deposit
11,AXP CORP CD 02589ADP4,3.3,Aug12'24,0,0,Aug 10 '22,0.05,Semi-Annual,99.884,5.453,0.5411868691444397,0.00296881259419024,99.753,0.0,Certificates of Deposit
12,WFC CORP CD 9497636F8,4.7,Aug15'24,0,0,Feb 15 '23,0.06,Monthly,99.956,5.426,0.06301369518041611,0.00003971,99.817,0.0,Certificates of Deposit
13,AXP CORP CD 02589ADS8,3.35,Aug19'24,0,0,Aug 17 '22,0.07,Semi-Annual,99.851,5.372,0.5602415204048157,0.003179282881319523,99.695,0.0,Certificates of Deposit
14,SYF CORP CD 87164YQ49,3.25,Aug19'24,0,0,Aug 19 '22,0.07,Semi-Annual,100.017,3.0312,0.07397260516881943,0.00005472,99.708,0.0,Certificates of Deposit
15,BSVBK CORP CD 07371DFN2,3.15,Aug21'24,0,0,Aug 24 '22,0.08,Semi-Annual,99.826,5.364,0.07945205271244049,0.00006313,99.666,0.0,Certificates of Deposit
16,DFS CORP CD 254673Q74,3.3,Aug22'24,0,0,Aug 23 '22,0.08,Semi-Annual,100.136,1.7328,0.08219178020954132,0.00006755,99.674,0.0,Certificates of Deposit
17,MS CORP CD 61768EPN7,4.75,Aug23'24,0,0,Feb 23 '23,0.08,Semi-Annual,100.251,1.7366,0.08493150770664215,0.00007213,99.797,0.0,Certificates of Deposit
18,AXP CORP CD 02589ADT6,3.3,Aug26'24,0,0,Aug 24 '22,0.09,Semi-Annual,99.811,5.337000000000001,0.5795390009880066,0.003398654516786337,99.652,0.0,Certificates of Deposit
19,MS CORP CD 61768ELK7,3.25,Aug26'24,0,0,Aug 25 '22,0.09,Semi-Annual,99.792,5.497,0.5823991894721985,0.0034313052892684937,99.643,0.0,Certificates of Deposit
20,BBCNBK CORP CD 062683HY6,5.2,Aug26'24,0,0,May 26 '23,0.09,Semi-Annual,100.289,1.9811,0.09315068274736404,0.00008677,99.834,0.0,Certificates of Deposit
21,MTB CORP CD 564759SB5,4.85,Aug28'24,0,0,Feb 28 '23,0.1,Semi-Annual,100.128,3.5113000000000003,0.0986301377415657,0.00009728,99.797,0.0,Certificates of Deposit
22,SYF CORP CD 87164WDA3,3.3,Aug29'24,0,0,Aug 29 '14,0.1,Semi-Annual,99.859,4.7198,0.10136986523866653,0.00010276,99.705,0.0,Certificates of Deposit
