Financial Instrument,Coupon,Maturity,Ratings,Issuer Debt/Equity,Issue Date,Time-To-Maturity (TTM),Payment Frequency,Ask,Ask Yield,Duration %  ,Convexity,Bid,
US-T GOVT Note 91282CGB1,3.875,Dec31'29,AAA (MOODY),,Jan 03 '23,5.44,Semi-Annual,98.60157,4.165,4.945319652557373,0.2597395181655884,98.60100,
US-T GOVT Note 91282CFY2,3.875,Nov30'29,AAA (MOODY),,Nov 30 '22,5.36,Semi-Annual,98.64532,4.16,4.860454559326172,0.2514190077781677,98.64531,
US-T GOVT Note 912828YS3,1.75,Nov15'29,AAA (MOODY),,Nov 15 '19,5.31,Semi-Annual,88.78907,4.122,5.0651702880859375,0.2648217976093292,88.76700,
US-T GOVT Note 91282CFT3,4.0,Oct31'29,AAA (MOODY),,Oct 31 '22,5.27,Semi-Annual,99.23325,4.163,4.765381813049316,0.2425999641418457,99.23322,
US-T GOVT Note 91282CFL0,3.875,Sep30'29,AAA (MOODY),,Sep 30 '22,5.19,Semi-Annual,98.66994,4.163,4.69321870803833,0.2354518622159958,98.66991,
US-T GOVT Note 91282CFJ5,3.125,Aug31'29,AAA (MOODY),,Aug 31 '22,5.11,Semi-Annual,95.27473,4.162,4.691603660583496,0.23316915333271027,95.27471,
US-T GOVT Note 912828YB0,1.625,Aug15'29,AAA (MOODY),,Aug 15 '19,5.06,Semi-Annual,88.64649,4.134,4.829269886016846,0.2409927099943161,88.63700,
US-T GOVT Note STRIPS Principal 912821CR4,,Aug15'29,,,Aug 15 '19,5.06,,81.52100,4.0785,,,81.11300,
US-T GOVT  STRIPS Principal 912803CG6,,Aug15'29,,,Aug 16 '99,5.06,,81.51600,4.08,,,81.20800,
US-T GOVT 912810FJ2,6.125,Aug15'29,AAA (MOODY),,Aug 16 '99,5.06,Semi-Annual,109.09961,4.114,4.357978343963623,0.21004781126976013,108.89453,
US-T GOVT Note 91282CFC0,2.625,Jul31'29,AAA (MOODY),,Aug 01 '22,5.02,Semi-Annual,93.09644,4.165,4.6638946533203125,0.22898542881011963,93.09641,
US-T GOVT Note TIPS 9128287D6,0.25,Jul15'29,AAA (MOODY),,Jul 31 '19,4.98,Semi-Annual,92.49610,1.8350000000000002,4.948334693908691,0.24577771127223969,92.48000,
US-T GOVT Note 91282CKX8,4.25,Jun30'29,AAA (MOODY),,Jul 01 '24,4.94,Semi-Annual,100.46876,4.143400000000001,4.501399517059326,0.21481935679912567,100.46874,
US-T GOVT Note 91282CEV9,3.25,Jun30'29,AAA (MOODY),,Jun 30 '22,4.94,Semi-Annual,95.95212,4.166,4.5890116691589355,0.22066134214401245,95.95210,
US-T GOVT Note 91282CKT7,4.5,May31'29,AAA (MOODY),,May 31 '24,4.85,Semi-Annual,101.56251,4.142,4.395820617675781,0.20590612292289734,101.56249,
US-T GOVT Note 91282CES6,2.75,May31'29,AAA (MOODY),,May 31 '22,4.85,Semi-Annual,93.83157,4.167,4.55109167098999,0.21599550545215607,93.83156,
US-T GOVT Note 9128286T2,2.375,May15'29,AAA (MOODY),,May 15 '19,4.81,Semi-Annual,92.29688,4.158,4.546822547912598,0.21463513374328613,92.26900,
US-T GOVT Note STRIPS Principal 912821CA1,,May15'29,,,May 15 '19,4.81,,82.14200,4.132000000000001,,,81.98400,
US-T GOVT Note 91282CKP5,4.625,Apr30'29,AAA (MOODY),,Apr 30 '24,4.77,Semi-Annual,102.02541,4.152,4.303252220153809,0.19809408485889435,102.02538,
US-T GOVT Note 91282CEM9,2.875,Apr30'29,AAA (MOODY),,May 02 '22,4.77,Semi-Annual,94.48438,4.1612,4.456953048706055,0.20782773196697235,94.46600,
US-T GOVT Note TIPS 91282CKL4,2.125,Apr15'29,AAA (MOODY),,Apr 30 '24,4.73,Semi-Annual,100.69532,1.9700000000000002,4.504678726196289,0.2095038741827011,100.69500,
US-T GOVT  TIPS 912810FH6,3.875,Apr15'29,AAA (MOODY),,Apr 15 '99,4.73,Semi-Annual,108.53907,1.973,4.345643997192383,0.19958196580410004,108.47600,
US-T GOVT Note 91282CKG5,4.125,Mar31'29,AAA (MOODY),,Apr 01 '24,4.69,Semi-Annual,99.86330,4.159,4.259729862213135,0.193411722779274,99.86327,
US-T GOVT Note 91282CEE7,2.375,Mar31'29,AAA (MOODY),,Mar 31 '22,4.69,Semi-Annual,92.46484,4.1609,4.420772075653076,0.2033359557390213,92.45100,
US-T GOVT Note 91282CKD2,4.25,Feb28'29,AAA (MOODY),,Feb 29 '24,4.60,Semi-Annual,100.44141,4.1428,4.167053699493408,0.18585072457790375,100.43100,
US-T GOVT Note 91282CEB3,1.875,Feb28'29,AAA (MOODY),,Feb 28 '22,4.60,Semi-Annual,90.50000,4.164000000000001,4.389768123626709,0.199209064245224,90.49800,
US-T GOVT Note 9128286B1,2.625,Feb15'29,AAA (MOODY),,Feb 15 '19,4.57,Semi-Annual,93.62110,4.175,4.269932270050049,0.1908901184797287,93.61700,
US-T GOVT Note STRIPS Principal 912821BL8,,Feb15'29,,,Feb 15 '19,4.57,,83.05300,4.1135,,,82.67700,
US-T GOVT  STRIPS Principal 912803BW2,,Feb15'29,,,Feb 16 '99,4.57,,83.43100,4.0120000000000005,,,83.12600,
US-T GOVT 912810FG8,5.25,Feb15'29,AAA (MOODY),,Feb 16 '99,4.57,Semi-Annual,105.02930,4.031000000000001,4.043810844421387,0.1775209605693817,104.75000,
US-T GOVT Note 91282CJW2,4.0,Jan31'29,AAA (MOODY),,Jan 31 '24,4.53,Semi-Annual,99.33985,4.163,4.103102207183838,0.18007123470306396,99.33984,
US-T GOVT Note 91282CDW8,1.75,Jan31'29,AAA (MOODY),,Jan 31 '22,4.53,Semi-Annual,90.13282,4.168,4.317992687225342,0.19259397685527802,90.12500,
US-T GOVT Note TIPS 9128285W6,0.875,Jan15'29,AAA (MOODY),,Jan 31 '19,4.48,Semi-Annual,95.42579,1.947,4.402593612670898,0.19602517783641815,95.39400,
US-T GOVT  TIPS 912810PZ5,2.5,Jan15'29,AAA (MOODY),,Jan 30 '09,4.48,Semi-Annual,102.30860,1.959,4.270694255828857,0.18796226382255554,102.26100,
US-T GOVT Note 91282CJR3,3.75,Dec31'28,AAA (MOODY),,Jan 02 '24,4.44,Semi-Annual,98.32423,4.17,4.121854782104492,0.17803823947906494,98.32421,
US-T GOVT Note 91282CDP3,1.375,Dec31'28,AAA (MOODY),,Dec 31 '21,4.44,Semi-Annual,88.78125,4.172000000000001,4.311114311218262,0.1894129365682602,88.76700,
US-T GOVT Note 91282CJN2,4.375,Nov30'28,AAA (MOODY),,Nov 30 '23,4.36,Semi-Annual,100.83205,4.164000000000001,3.9931254386901855,0.16855333745479584,100.83202,
