Financial Instrument,Coupon,Maturity,Ratings,Issuer Debt/Equity,Issue Date,Time-To-Maturity (TTM),Payment Frequency,Ask,Ask Yield,Duration %  ,Convexity,Bid,
US-T GOVT Note 91282CGU9,3.875,Mar31'25,AAA (MOODY),,Mar 31 '23,0.69,Semi-Annual,99.23000,5.023000000000001,0.6793616414070129,0.004662160761654377,99.21094,
US-T GOVT Note 912828ZF0,0.5,Mar31'25,AAA (MOODY),,Mar 31 '20,0.69,Semi-Annual,96.99609,5.009,0.6876378059387207,0.004734810907393694,96.98046,
US-T GOVT Note 9128284F4,2.625,Mar31'25,AAA (MOODY),,Apr 02 '18,0.69,Semi-Annual,98.40700,5.011,0.6823632121086121,0.0046885088086128235,98.39453,
US-T GOVT Bill 912797KJ5,,Mar20'25,,,Mar 21 '24,0.66,,96.87309,4.901,,,96.84300,
US-T GOVT Note 91282CED9,1.75,Mar15'25,AAA (MOODY),,Mar 15 '22,0.64,Semi-Annual,97.96094,5.003,0.6434399485588074,0.004161975812166929,97.94500,
US-T GOVT Note 91282CGN5,4.625,Feb28'25,AAA (MOODY),,Feb 28 '23,0.60,Semi-Annual,99.72700,5.082,0.5954539775848389,0.0036009831819683313,99.71900,
US-T GOVT Note 912828ZC7,1.125,Feb28'25,AAA (MOODY),,Mar 02 '20,0.60,Semi-Annual,97.68000,5.077,0.6039259433746338,0.0036614355631172657,97.66800,
US-T GOVT Note 9128283Z1,2.75,Feb28'25,AAA (MOODY),,Feb 28 '18,0.60,Semi-Annual,98.62109,5.095000000000001,0.5999195575714111,0.003632847685366869,98.60900,
US-T GOVT Note STRIPS Interest 912834TJ7,,Feb28'25,,,Feb 28 '18,0.60,,96.92401,5.2465,,,96.92400,
US-T GOVT Bill 912797KA4,,Feb20'25,,,Feb 22 '24,0.58,,97.17201,5.031000000000001,,,97.14857,
US-T GOVT Note 91282CDZ1,1.5,Feb15'25,AAA (MOODY),,Feb 15 '22,0.57,Semi-Annual,97.98047,5.2010000000000005,0.559181272983551,0.0031456397846341133,97.96093,
US-T GOVT Note STRIPS Principal 912820T31,,Feb15'25,,,Feb 17 '15,0.57,,97.24100,5.054,,,97.10900,
US-T GOVT Note 912828J27,2.0,Feb15'25,AAA (MOODY),,Feb 17 '15,0.57,Semi-Annual,98.26954,5.17,0.5579442977905273,0.003137897001579404,98.26100,
US-T GOVT  STRIPS Principal 912803BE2,,Feb15'25,,,Feb 15 '95,0.57,,97.53400,4.505,,,97.39400,
US-T GOVT 912810ET1,7.625,Feb15'25,AAA (MOODY),,Feb 15 '95,0.57,Semi-Annual,101.85500,4.2330000000000005,0.5448639392852783,0.003056021872907877,101.41796,
US-T GOVT Note 91282CGG0,4.125,Jan31'25,AAA (MOODY),,Jan 31 '23,0.53,Semi-Annual,99.48000,5.151000000000001,0.5117489099502563,0.0026686079800128937,99.46484,
